PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;79;4;7;28079004_7_8;2022;8;2;V;2;V;4;V;3;V;3;V;2;V;2;V;4;V;2;V;1;V;1;V;2;V;4;V;2;V;2;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;4;V;5;V;2;V;1;V;2;V;1;V;1;V;7;V;1;V
28;79;4;7;28079004_7_8;2022;9;6;V;2;V;1;V;2;V;7;V;3;V;2;V;2;V;2;V;2;V;16;V;7;V;4;V;5;V;4;V;14;V;4;V;3;V;4;V;8;V;10;V;17;V;5;V;6;V;2;V;3;V;17;V;14;V;3;V;7;V;0;N
28;79;4;7;28079004_7_8;2022;10;13;V;15;V;32;V;45;V;35;V;9;V;19;V;16;V;5;V;10;V;5;V;8;V;20;V;35;V;22;V;15;V;10;V;36;V;25;V;6;V;4;V;5;V;3;V;18;V;10;V;41;V;40;V;35;V;16;V;15;V;17;V
28;79;4;7;28079004_7_8;2022;11;12;V;33;V;14;V;6;V;21;V;23;V;43;V;18;V;6;V;40;V;5;V;2;V;12;V;21;V;2;V;1;V;2;V;2;V;1;V;2;V;1;V;3;V;4;V;10;V;13;V;31;V;26;V;7;V;52;V;47;V;0;N
28;79;4;8;28079004_8_8;2022;3;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;19;N;0;N;0;N;30;V;28;V;29;V;25;V
28;79;4;8;28079004_8_8;2022;4;21;V;16;V;15;V;16;N;23;V;18;V;20;V;12;V;11;V;18;V;18;V;19;V;22;V;14;V;20;V;25;V;28;V;24;V;26;V;14;V;18;V;21;V;9;V;14;V;30;V;35;V;28;V;31;V;21;V;40;V;0;N
28;79;4;8;28079004_8_8;2022;5;26;V;16;V;14;V;13;V;21;V;19;V;19;V;17;V;24;V;27;V;35;V;25;V;35;V;32;V;12;V;19;V;19;V;31;V;31;V;24;V;24;V;16;V;13;V;15;V;16;V;13;V;20;V;20;V;26;V;10;V;26;V
28;79;4;8;28079004_8_8;2022;6;18;V;18;V;23;V;24;V;11;V;27;V;26;V;16;V;16;V;29;V;24;V;22;V;33;V;42;V;35;V;30;V;21;V;22;V;7;V;13;V;15;V;10;V;10;V;11;V;9;V;11;V;14;V;15;V;29;V;16;V;0;N
28;79;4;8;28079004_8_8;2022;7;18;V;14;V;12;V;26;V;32;V;21;V;15;V;26;V;21;V;24;V;30;V;26;V;50;V;29;V;26;V;18;V;25;V;19;V;14;V;32;V;28;V;27;V;31;V;29;V;16;V;21;V;14;V;25;V;28;V;13;V;23;V
28;79;4;8;28079004_8_8;2022;8;22;V;18;V;31;V;26;V;26;V;24;V;19;V;33;V;23;V;12;V;14;V;19;V;19;V;12;V;15;V;15;V;14;V;13;V;19;V;21;V;26;V;17;V;15;V;22;V;18;V;11;V;16;V;13;V;14;V;22;V;16;V
28;79;4;8;28079004_8_8;2022;9;31;V;17;V;15;V;17;V;24;V;14;V;20;V;16;V;14;V;18;V;28;V;27;V;12;V;16;V;19;V;21;V;19;V;13;V;21;V;29;V;34;V;33;V;21;V;24;V;5;V;12;V;34;V;30;V;17;V;21;V;0;N
28;79;4;8;28079004_8_8;2022;10;37;V;44;V;63;V;66;V;56;V;34;V;45;V;36;V;21;V;38;V;26;V;22;V;35;V;46;V;35;V;42;V;35;V;44;V;30;V;24;V;19;V;19;V;14;V;32;V;33;V;49;V;49;V;43;V;40;V;37;V;30;V
28;79;4;8;28079004_8_8;2022;11;29;V;36;V;25;V;27;V;36;V;33;V;45;V;47;V;23;V;35;V;35;V;25;V;30;V;27;V;18;V;18;V;16;V;20;V;18;V;18;V;15;V;16;V;12;V;27;V;29;V;38;V;36;V;26;V;49;V;49;V;0;N
28;79;4;12;28079004_12_8;2022;3;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;28;N;0;N;0;N;47;V;36;V;36;V;30;V
28;79;4;12;28079004_12_8;2022;4;27;V;20;V;20;V;20;N;30;V;24;V;28;V;16;V;16;V;28;V;24;V;24;V;38;V;19;V;28;V;35;V;36;V;30;V;38;V;18;V;24;V;26;V;13;V;18;V;48;V;44;V;34;V;53;V;28;V;60;V;0;N
28;79;4;12;28079004_12_8;2022;5;39;V;19;V;18;V;17;V;28;V;24;V;24;V;21;V;36;V;35;V;48;V;30;V;49;V;44;V;15;V;26;V;30;V;49;V;39;V;29;V;29;V;20;V;17;V;19;V;23;V;17;V;27;V;25;V;34;V;13;V;40;V
28;79;4;12;28079004_12_8;2022;6;24;V;25;V;30;V;32;V;15;V;37;V;42;V;26;V;22;V;39;V;30;V;25;V;42;V;59;V;48;V;40;V;26;V;26;V;11;V;17;V;18;V;14;V;13;V;15;V;13;V;14;V;17;V;19;V;40;V;21;V;0;N
28;79;4;12;28079004_12_8;2022;7;23;V;17;V;15;V;33;V;42;V;28;V;20;V;39;V;25;V;31;V;36;V;30;V;66;V;34;V;29;V;20;V;30;V;22;V;17;V;40;V;33;V;35;V;36;V;35;V;19;V;25;V;18;V;34;V;38;V;16;V;28;V
28;79;4;12;28079004_12_8;2022;8;25;V;21;V;37;V;31;V;31;V;27;V;22;V;39;V;27;V;14;V;16;V;23;V;26;V;15;V;18;V;17;V;16;V;15;V;21;V;23;V;30;V;20;V;21;V;29;V;20;V;13;V;19;V;15;V;16;V;32;V;18;V
28;79;4;12;28079004_12_8;2022;9;40;V;20;V;17;V;20;V;36;V;18;V;23;V;18;V;16;V;22;V;52;V;37;V;17;V;23;V;25;V;43;V;25;V;17;V;27;V;41;V;50;V;60;V;28;V;33;V;8;V;16;V;60;V;52;V;22;V;32;V;0;N
28;79;4;12;28079004_12_8;2022;10;57;V;67;V;112;V;134;V;110;V;48;V;75;V;61;V;29;V;53;V;33;V;35;V;66;V;100;V;69;V;65;V;50;V;99;V;68;V;34;V;26;V;26;V;19;V;59;V;49;V;113;V;110;V;97;V;65;V;59;V;56;V
28;79;4;12;28079004_12_8;2022;11;47;V;87;V;46;V;37;V;68;V;68;V;111;V;74;V;33;V;96;V;42;V;28;V;48;V;59;V;20;V;20;V;18;V;22;V;19;V;20;V;17;V;21;V;18;V;42;V;48;V;85;V;75;V;36;V;130;V;121;V;0;N
28;79;8;1;28079008_1_38;2022;1;5;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;5;V;5;V;5;V
28;79;8;1;28079008_1_38;2022;2;4;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;4;V;4;N;4;N;4;V;3;V;3;V;4;V;3;V;4;V;4;V;3;V;3;V;3;V;3;V;0;N;0;N;0;N
28;79;8;1;28079008_1_38;2022;3;3;V;3;V;3;V;3;N;4;V;4;V;3;V;3;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;4;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;79;8;1;28079008_1_38;2022;4;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;0;N
28;79;8;1;28079008_1_38;2022;5;4;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V
28;79;8;1;28079008_1_38;2022;6;5;V;5;V;5;V;5;V;5;V;6;V;6;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;5;V;6;V;6;V;6;V;0;N
28;79;8;1;28079008_1_38;2022;7;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;7;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;8;1;28079008_1_38;2022;8;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;8;1;28079008_1_38;2022;9;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N
28;79;8;1;28079008_1_38;2022;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;8;1;28079008_1_38;2022;11;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;0;N
28;79;8;6;28079008_6_48;2022;1;0.6;V;0.5;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.4;V;0.5;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.4;V;0.5;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.5;V;0.4;V
28;79;8;6;28079008_6_48;2022;2;0.3;V;0.6;V;0.6;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.4;V;0.5;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.5;V;0.3;V;0.3;V;0.4;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0;N;0;N;0;N
28;79;8;6;28079008_6_48;2022;3;0.4;V;0.3;V;0.4;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;79;8;6;28079008_6_48;2022;4;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0;N
28;79;8;6;28079008_6_48;2022;5;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V
28;79;8;6;28079008_6_48;2022;6;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0;N
28;79;8;6;28079008_6_48;2022;7;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;79;8;6;28079008_6_48;2022;8;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;8;6;28079008_6_48;2022;9;0.2;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0;N
28;79;8;6;28079008_6_48;2022;10;0.4;V;0.4;V;0.4;V;0.6;V;0.4;V;0.3;V;0.4;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.3;V;0.3;V;0.3;V
28;79;8;6;28079008_6_48;2022;11;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.4;V;0.3;V;0.5;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.5;V;0.5;V;0;N
28;79;8;7;28079008_7_8;2022;1;57;V;40;V;46;V;29;V;9;V;10;V;30;V;29;V;7;V;32;V;52;V;29;V;15;V;14;V;22;V;20;V;41;V;59;V;50;V;23;V;13;V;9;V;7;V;10;V;8;V;11;V;26;V;27;V;36;V;33;V;37;V
28;79;8;7;28079008_7_8;2022;2;4;V;55;V;63;V;30;V;7;V;8;V;26;V;13;V;19;V;39;V;49;V;7;V;6;V;9;V;18;V;21;V;38;V;47;V;5;V;6;V;21;V;12;V;18;V;16;V;9;V;6;V;5;V;15;V;0;N;0;N;0;N
28;79;8;7;28079008_7_8;2022;3;23;V;10;V;28;V;5;V;5;V;3;V;7;V;9;V;16;V;11;V;9;V;6;V;4;V;7;V;13;V;10;V;6;V;7;V;5;V;4;V;8;V;5;V;7;V;10;V;7;V;5;V;4;V;10;V;10;V;7;V;8;V
28;79;8;7;28079008_7_8;2022;4;5;V;3;V;3;V;5;V;7;V;9;V;16;V;10;V;7;V;5;V;8;V;7;V;10;V;3;V;4;V;5;V;4;V;5;V;6;V;5;V;10;V;8;V;6;V;4;V;9;V;8;V;8;V;11;V;6;V;9;V;0;N
28;79;8;7;28079008_7_8;2022;5;6;V;3;V;4;V;4;V;6;V;5;V;4;V;3;V;6;V;6;V;7;V;6;V;7;V;5;V;4;V;5;V;9;V;9;V;7;V;6;V;5;V;5;V;6;V;5;V;4;V;4;V;6;V;4;V;5;V;8;V;9;V
28;79;8;7;28079008_7_8;2022;6;11;V;8;V;10;V;6;V;4;V;13;V;8;V;9;V;6;V;12;V;12;V;4;V;8;V;13;V;6;V;8;V;6;V;5;V;4;V;7;V;6;V;7;V;7;V;6;V;5;V;4;V;3;V;4;V;7;V;6;V;0;N
28;79;8;7;28079008_7_8;2022;7;4;V;4;V;3;V;6;V;5;V;4;V;3;V;5;V;5;V;4;V;4;V;4;V;7;V;3;V;4;V;3;V;3;V;4;V;5;V;3;V;5;V;5;V;3;V;4;V;3;V;4;V;4;V;5;V;5;V;3;V;3;V
28;79;8;7;28079008_7_8;2022;8;3;V;3;V;4;V;6;V;4;V;3;V;3;V;4;V;4;V;3;V;4;V;5;V;8;V;3;V;3;V;4;V;3;V;3;V;3;V;4;V;9;V;4;V;5;V;8;V;4;V;3;V;3;V;2;V;4;V;9;V;5;V
28;79;8;7;28079008_7_8;2022;9;5;V;6;V;4;V;4;V;10;V;9;V;8;V;6;V;8;V;6;V;17;V;9;V;7;V;8;V;7;V;9;V;4;V;3;V;3;V;5;V;7;V;6;V;5;V;3;V;1;V;3;V;17;V;17;V;6;V;8;V;0;N
28;79;8;7;28079008_7_8;2022;10;17;V;21;V;13;V;49;V;19;V;6;V;19;V;5;V;4;V;7;V;5;V;3;V;10;V;25;V;16;V;10;V;7;V;14;V;21;V;5;V;7;V;4;V;3;V;13;V;12;V;34;V;28;V;25;V;3;V;5;V;8;V
28;79;8;7;28079008_7_8;2022;11;7;V;15;V;23;V;9;V;23;V;12;V;26;V;22;V;11;V;28;V;9;V;4;V;12;V;22;V;8;V;9;V;9;V;8;V;3;V;5;V;7;V;9;V;8;V;11;V;5;V;24;V;12;V;9;V;48;V;54;V;0;N
28;79;8;8;28079008_8_8;2022;1;60;V;53;V;56;V;43;V;31;V;35;V;51;V;52;V;28;V;41;V;55;V;50;V;48;V;45;V;50;V;56;V;70;V;71;V;70;V;52;V;41;V;39;V;39;V;46;V;47;V;46;V;51;V;54;V;55;V;55;V;64;V
28;79;8;8;28079008_8_8;2022;2;30;V;65;V;71;V;57;V;32;V;35;V;50;V;46;V;56;V;77;V;69;V;42;V;29;V;30;V;41;V;48;V;67;V;64;V;26;V;32;V;48;V;47;V;53;V;59;V;41;V;36;V;28;V;48;V;0;N;0;N;0;N
28;79;8;8;28079008_8_8;2022;3;50;V;34;V;50;V;29;V;29;V;18;V;28;V;30;V;49;V;41;V;36;V;24;V;21;V;39;V;51;V;42;V;29;V;32;V;26;V;19;V;33;V;22;V;34;V;41;V;34;V;26;V;24;V;34;V;36;V;33;V;37;V
28;79;8;8;28079008_8_8;2022;4;24;V;18;V;18;V;25;V;33;V;31;V;34;V;24;V;19;V;20;V;23;V;28;V;32;V;15;V;22;V;25;V;26;V;28;V;24;V;21;V;29;V;27;V;19;V;21;V;35;V;43;V;35;V;39;V;28;V;44;V;0;N
28;79;8;8;28079008_8_8;2022;5;27;V;17;V;22;V;21;V;26;V;22;V;20;V;17;V;30;V;32;V;39;V;33;V;39;V;30;V;17;V;23;V;29;V;42;V;32;V;32;V;27;V;22;V;24;V;20;V;15;V;18;V;27;V;25;V;32;V;23;V;30;V
28;79;8;8;28079008_8_8;2022;6;29;V;27;V;33;V;27;V;19;V;36;V;32;V;24;V;19;V;36;V;30;V;26;V;39;V;54;V;36;V;34;V;28;V;29;V;14;V;23;V;23;V;19;V;23;V;22;V;17;V;18;V;17;V;20;V;37;V;22;V;0;N
28;79;8;8;28079008_8_8;2022;7;23;V;19;V;17;V;34;V;34;V;23;V;20;V;29;V;30;V;29;V;35;V;32;V;50;V;34;V;36;V;23;V;25;V;26;V;25;V;31;V;36;V;33;V;30;V;29;V;22;V;24;V;22;V;32;V;32;V;15;V;21;V
